Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 1  | ACTUAL WALLET AMOUNT:: 249.08  | WALLET AMOUNT:: 249.08  | DIFFERENCE:: 0.00
INVESTOR ID:: 2  | ACTUAL WALLET AMOUNT:: 244.27  | WALLET AMOUNT:: 226.33  | DIFFERENCE:: 17.94
INVESTOR ID:: 3  | ACTUAL WALLET AMOUNT:: -3441.85  | WALLET AMOUNT:: 980.01  | DIFFERENCE:: -4421.86
INVESTOR ID:: 4  | ACTUAL WALLET AMOUNT:: 572.17  | WALLET AMOUNT:: 684.14  | DIFFERENCE:: -111.97
INVESTOR ID:: 5  | ACTUAL WALLET AMOUNT:: 27.72  | WALLET AMOUNT:: 27.72  | DIFFERENCE:: 0.00
INVESTOR ID:: 6  | ACTUAL WALLET AMOUNT:: 743.70  | WALLET AMOUNT:: 616.79  | DIFFERENCE:: 126.91
INVESTOR ID:: 7  | ACTUAL WALLET AMOUNT:: 866.81  | WALLET AMOUNT:: 826.81  | DIFFERENCE:: 40.00
INVESTOR ID:: 8  | ACTUAL WALLET AMOUNT:: 590.62  | WALLET AMOUNT:: 3002.43  | DIFFERENCE:: -2411.81
INVESTOR ID:: 9  | ACTUAL WALLET AMOUNT:: 50.72  | WALLET AMOUNT:: 50.72  | DIFFERENCE:: 0.00
INVESTOR ID:: 10  | ACTUAL WALLET AMOUNT:: 280.40  | WALLET AMOUNT:: 71.53  | DIFFERENCE:: 208.87
INVESTOR ID:: 11  | ACTUAL WALLET AMOUNT:: 6165.31  | WALLET AMOUNT:: 5426.34  | DIFFERENCE:: 738.97
INVESTOR ID:: 12  | ACTUAL WALLET AMOUNT:: 4755.60  | WALLET AMOUNT:: 4709.31  | DIFFERENCE:: 46.29
INVESTOR ID:: 13  | ACTUAL WALLET AMOUNT:: 551.94  | WALLET AMOUNT:: 182.92  | DIFFERENCE:: 369.02
INVESTOR ID:: 14  | ACTUAL WALLET AMOUNT:: 374.29  | WALLET AMOUNT:: 374.29  | DIFFERENCE:: 0.00
INVESTOR ID:: 15  | ACTUAL WALLET AMOUNT:: 860.62  | WALLET AMOUNT:: 120.62  | DIFFERENCE:: 740.00
INVESTOR ID:: 16  | ACTUAL WALLET AMOUNT:: 421.04  | WALLET AMOUNT:: 421.04  | DIFFERENCE:: 0.00
INVESTOR ID:: 17  | ACTUAL WALLET AMOUNT:: 677.45  | WALLET AMOUNT:: 411.35  | DIFFERENCE:: 266.10
INVESTOR ID:: 18  | ACTUAL WALLET AMOUNT:: 1691.25  | WALLET AMOUNT:: 515.14  | DIFFERENCE:: 1176.11
INVESTOR ID:: 19  | ACTUAL WALLET AMOUNT:: 221.01  | WALLET AMOUNT:: 30.01  | DIFFERENCE:: 191.00
INVESTOR ID:: 20  | ACTUAL WALLET AMOUNT:: 179.93  | WALLET AMOUNT:: 292.11  | DIFFERENCE:: -112.18
INVESTOR ID:: 21  | ACTUAL WALLET AMOUNT:: 112.84  | WALLET AMOUNT:: 112.84  | DIFFERENCE:: 0.00
INVESTOR ID:: 22  | ACTUAL WALLET AMOUNT:: 424.23  | WALLET AMOUNT:: 423.52  | DIFFERENCE:: 0.71
INVESTOR ID:: 23  | ACTUAL WALLET AMOUNT:: 45.97  | WALLET AMOUNT:: 45.97  | DIFFERENCE:: 0.00
INVESTOR ID:: 24  | ACTUAL WALLET AMOUNT:: 46.28  | WALLET AMOUNT:: 46.28  | DIFFERENCE:: 0.00
INVESTOR ID:: 25  | ACTUAL WALLET AMOUNT:: 261.22  | WALLET AMOUNT:: 261.22  | DIFFERENCE:: 0.00
INVESTOR ID:: 26  | ACTUAL WALLET AMOUNT:: 6135.50  | WALLET AMOUNT:: 5805.42  | DIFFERENCE:: 330.08
INVESTOR ID:: 27  | ACTUAL WALLET AMOUNT:: 86.41  | WALLET AMOUNT:: 86.41  | DIFFERENCE:: 0.00
INVESTOR ID:: 28  | ACTUAL WALLET AMOUNT:: -164.35  | WALLET AMOUNT:: 44.43  | DIFFERENCE:: -208.78
INVESTOR ID:: 29  | ACTUAL WALLET AMOUNT:: 113.62  | WALLET AMOUNT:: 93.87  | DIFFERENCE:: 19.75
INVESTOR ID:: 30  | ACTUAL WALLET AMOUNT:: 213.58  | WALLET AMOUNT:: 41.81  | DIFFERENCE:: 171.77
INVESTOR ID:: 31  | ACTUAL WALLET AMOUNT:: 180.44  | WALLET AMOUNT:: 180.44  | DIFFERENCE:: 0.00
INVESTOR ID:: 32  | ACTUAL WALLET AMOUNT:: 94.20  | WALLET AMOUNT:: 94.20  | DIFFERENCE:: 0.00
INVESTOR ID:: 33  | ACTUAL WALLET AMOUNT:: -217.21  | WALLET AMOUNT:: 136.79  | DIFFERENCE:: -354.00
INVESTOR ID:: 34  | ACTUAL WALLET AMOUNT:: 29.51  | WALLET AMOUNT:: 29.51  | DIFFERENCE:: 0.00
INVESTOR ID:: 35  | ACTUAL WALLET AMOUNT:: 75.23  | WALLET AMOUNT:: 70.25  | DIFFERENCE:: 4.98
INVESTOR ID:: 36  | ACTUAL WALLET AMOUNT:: -527.58  | WALLET AMOUNT:: 192.53  | DIFFERENCE:: -720.11
INVESTOR ID:: 37  | ACTUAL WALLET AMOUNT:: 668.25  | WALLET AMOUNT:: 24.25  | DIFFERENCE:: 644.00
INVESTOR ID:: 38  | ACTUAL WALLET AMOUNT:: 48.75  | WALLET AMOUNT:: 48.75  | DIFFERENCE:: 0.00
INVESTOR ID:: 39  | ACTUAL WALLET AMOUNT:: 142.11  | WALLET AMOUNT:: 36.11  | DIFFERENCE:: 106.00
INVESTOR ID:: 40  | ACTUAL WALLET AMOUNT:: 426.20  | WALLET AMOUNT:: 132.20  | DIFFERENCE:: 294.00
INVESTOR ID:: 41  | ACTUAL WALLET AMOUNT:: 162.93  | WALLET AMOUNT:: 162.93  | DIFFERENCE:: 0.00
INVESTOR ID:: 42  | ACTUAL WALLET AMOUNT:: 118.64  | WALLET AMOUNT:: 118.64  | DIFFERENCE:: 0.00
